Gmt time,Ask,Bid,AskVolume,BidVolume
01.05.2009 00:00:00.321,1.3245500000000001,1.3243500000000001,14.2,1.6
01.05.2009 00:00:01.691,1.3245500000000001,1.3243500000000001,15.6,1.6
01.05.2009 00:00:01.971,1.3245500000000001,1.3243500000000001,14.2,1.6
01.05.2009 00:00:02.200,1.3245500000000001,1.3243500000000001,6.4,1.6
01.05.2009 00:00:02.991,1.3245500000000001,1.3244,4.8,9.6
01.05.2009 00:00:03.330,1.32465,1.3244500000000001,14.2,1.6
01.05.2009 00:00:03.671,1.3245500000000001,1.3244,6.4,1.6
01.05.2009 00:00:04.210,1.3245500000000001,1.3244500000000001,4.8,1.6
01.05.2009 00:00:04.390,1.3246,1.3244500000000001,1.6,4.8
01.05.2009 00:00:04.720,1.32465,1.3245,6.2,3.2
01.05.2009 00:00:05.050,1.3247,1.3245,6.4,1.6
01.05.2009 00:00:05.929,1.3247,1.3245,9.6,1.6
01.05.2009 00:00:09.769,1.3247,1.3245,9.6,4.8
01.05.2009 00:00:13.708,1.3247,1.3245,9.6,8
01.05.2009 00:00:14.059,1.32475,1.3245500000000001,8,1.6
01.05.2009 00:00:14.568,1.3247,1.3245500000000001,3.2,1.6
01.05.2009 00:00:14.858,1.3247,1.3245500000000001,8,1.6
01.05.2009 00:00:15.088,1.3247,1.3245,9.6,1.6
01.05.2009 00:00:16.657,1.3247,1.3245,9.6,4.8
01.05.2009 00:00:29.154,1.3247,1.3245,9.6,1.6
01.05.2009 00:00:34.913,1.3247,1.3245,14.4,6.4
01.05.2009 00:00:36.122,1.3247,1.3245,17.6,6.4
01.05.2009 00:00:36.412,1.32465,1.3244500000000001,9.6,9.6
01.05.2009 00:00:36.592,1.32465,1.3244500000000001,9.6,4.8
01.05.2009 00:00:36.822,1.3245500000000001,1.3243500000000001,4.8,5.6
01.05.2009 00:00:37.062,1.3245500000000001,1.3243500000000001,6.4,4.8
01.05.2009 00:00:37.242,1.3246,1.3243500000000001,3.2,8
01.05.2009 00:00:37.702,1.3245500000000001,1.3243500000000001,9.6,4.8
01.05.2009 00:00:38.202,1.3245500000000001,1.3243500000000001,6.4,4.8
